,Twitter Account,Number of Tweets Ago,Date,Tweet,Compound Score,Positive Score,Neutral Score,Negative Score
32,BBC,33,Fri Jan 05 11:49:10 +0000 2018,"""We were informed that the victims had been told"" - Chair of Parole Board Nick Hardwick issues apology after some v… https://t.co/QEwogG5rTg",-0.2732,0.053,0.844,0.102
33,BBC,34,Fri Jan 05 00:12:52 +0000 2018,Breast size dissatisfaction 'affects self-examination' https://t.co/rB1r07omvU,-0.4939,0.0,0.61,0.39
34,BBC,35,Thu Jan 04 18:17:31 +0000 2018,"John Worboys, who carried out more than 100 rapes and sexual assaults on women in London, is to be freed from jail… https://t.co/3MfSL9JRPd",-0.7624,0.087,0.646,0.267
35,BBC,36,Thu Jan 04 14:10:37 +0000 2018,RT @BBCHughPym: Public Health England: influenza activity continues to increase across all surveillance indicators with notable increases f…,0.3182,0.119,0.881,0.0
36,BBC,37,Thu Jan 04 08:52:56 +0000 2018,"RT @BBCSport: Late wickets leave England disappointed and frustrated at the end of the first day in Sydney.

Can the tourists get themselve…",-0.7717,0.0,0.722,0.278
37,BBC,38,Thu Jan 04 00:11:36 +0000 2018,"UK farming 'needs protection' post-Brexit, MPs warn https://t.co/NXHeJGbnUI",-0.1027,0.0,0.833,0.167
38,BBC,39,Wed Jan 03 19:48:40 +0000 2018,Harpist Danielle Perrett 'had sex with boy' https://t.co/nl7Pkh7nuV,0.0,0.0,1.0,0.0
39,BBC,40,Wed Jan 03 13:14:29 +0000 2018,Ticketmaster's 'best seats' aren't the best seats after all https://t.co/5sgwXIO0sx,0.8555,0.512,0.488,0.0
40,BBC,41,Wed Jan 03 09:34:04 +0000 2018,Struggling hospitals facing 'huge tragedy' https://t.co/JBup961hxY,-0.7096,0.184,0.24,0.576
41,BBC,42,Tue Jan 02 22:22:00 +0000 2018,"Wednesday's Daily Star: ""CBB hits &amp; misses"" #bbcpapers #tomorrowspaperstoday (via @AllieHBNews) https://t.co/Qq1nFVuVJy",-0.2263,0.0,0.853,0.147
42,BBC,43,Tue Jan 02 17:55:20 +0000 2018,"RT @BBCtrending: She didn't want to be called ""honey""... and got a snarky response https://t.co/ar3qNXUQh2",-0.0572,0.0,0.914,0.086
43,BBC,44,Tue Jan 02 13:03:51 +0000 2018,Liverpool car park fire: Images released https://t.co/QlmawdP6aZ,-0.34,0.0,0.714,0.286
44,BBC,45,Tue Jan 02 07:44:25 +0000 2018,"RT @BBCSport: British number one Andy Murray has withdrawn from the Brisbane International because of a hip injury.

👉 https://t.co/vF8gtfM…",-0.3612,0.065,0.796,0.139
45,BBC,46,Mon Jan 01 17:05:00 +0000 2018,Sheffield 'terror plot': More time to question suspect https://t.co/YXHTYrw74V,-0.6808,0.0,0.556,0.444
46,BBC,47,Sun Dec 31 17:40:51 +0000 2017,"RT @BBCBreaking: Palestinians recall envoy to US for ""consultations"" in wake of Trump's recognition of Jerusalem as Israel's capital https:…",0.0,0.0,1.0,0.0
47,BBC,48,Sat Dec 30 16:59:14 +0000 2017,Fire in Manchester apartment block https://t.co/70D5m2w5wV,-0.6486,0.0,0.43,0.57
48,BBC,49,Sat Dec 30 03:44:48 +0000 2017,New Year's travel chaos looms as rail strikes hit https://t.co/RDPZeRBpkR,-0.7783,0.0,0.473,0.527
49,BBC,50,Fri Dec 29 18:45:47 +0000 2017,Lord Adonis 'quits government role' with Brexit attack https://t.co/LtUMxkUsCg,-0.4767,0.0,0.721,0.279
50,BBC,51,Fri Dec 29 12:06:29 +0000 2017,"RT @BBCWorld: ✅ #saltbae
✅ blinking guy
✅ #bbcdad 
✅ distracted boyfriend
https://t.co/lTqmueC4qx",-0.34,0.0,0.769,0.231
51,BBC,52,Fri Dec 29 04:32:15 +0000 2017,Birmingham Six member Paddy Hill's prison letter revealed https://t.co/uJGLZuXp78,-0.5106,0.0,0.708,0.292
52,BBC,53,Thu Dec 28 20:06:56 +0000 2017,RT @BBCLondonNews: The body of a woman found in Finsbury Park has been named as Iuliana Tudos - a barmaid who has been missing since Christ…,-0.296,0.0,0.909,0.091
53,BBC,54,Thu Dec 28 12:30:40 +0000 2017,RT @BBCSportWales: #Swans appoint Carlos Carvalhal as manager until the end of the season with the option of an extension https://t.co/TzVq…,0.0,0.0,1.0,0.0
54,BBC,55,Thu Dec 28 01:29:58 +0000 2017,Police overtime payments surge in Norfolk and Suffolk https://t.co/RJUyuIcnb6,0.0,0.0,1.0,0.0
55,BBC,56,Wed Dec 27 15:09:02 +0000 2017,Drug-smuggling Laura Plummer transferred to 'bad prison' https://t.co/PFqZNxpxoV,-0.7783,0.0,0.469,0.531
56,BBC,57,Wed Dec 27 09:35:19 +0000 2017,Snow sparks road warnings and power cuts https://t.co/JlanZRUxhU,-0.5267,0.0,0.577,0.423
57,BBC,58,Tue Dec 26 20:04:06 +0000 2017,"Don't forget, Prince Harry will guest edit @BBCr4today tomorrow morning. Listen for the full interview with… https://t.co/CsDQUJ4eey",0.1695,0.094,0.906,0.0
58,BBC,59,Mon Dec 25 18:36:26 +0000 2017,Mum hopes royal photo can pay for university https://t.co/0enO9C2HPe,0.34,0.25,0.625,0.125
59,BBC,60,Mon Dec 25 10:21:32 +0000 2017,RT @BBCEngland: What everyday treasures remind people of the loved ones who are no longer around at Christmas? https://t.co/d1CK8yGT29 http…,0.6705,0.259,0.656,0.085
60,BBC,61,Sun Dec 24 13:06:26 +0000 2017,Field Farm Fisheries' 'no Polish' sign taken down https://t.co/K2RUjyKm7k,-0.296,0.0,0.784,0.216
61,BBC,62,Sat Dec 23 20:58:27 +0000 2017,Measles warning for European travel over festive period https://t.co/r1kXy1QPhl,0.1531,0.242,0.565,0.194
62,BBC,63,Sat Dec 23 08:12:47 +0000 2017,London Zoo fire: Seventy firefighters tackle cafe blaze https://t.co/3fh4lAeZku,-0.34,0.0,0.769,0.231
63,BBC,64,Fri Dec 22 21:40:12 +0000 2017,RT @BBCSport: A real Christmas cracker! https://t.co/EAjsGN2qwo,0.0,0.0,1.0,0.0
64,BBC,65,Fri Dec 22 15:46:13 +0000 2017,"Christmas decorations: The good, the bad and the ugly 🎄 https://t.co/Jv0TEtxuNv",-0.5994,0.174,0.419,0.407
65,BBC,66,Fri Dec 22 11:20:32 +0000 2017,Royal Opera House: Thousands evacuated over 'suspicious package' https://t.co/OeoJ9rmCIi,-0.3612,0.0,0.762,0.238
66,BBC,67,Fri Dec 22 01:39:02 +0000 2017,Three UK supermarkets publish data on antibiotics use https://t.co/fOh8ZA5vwa,0.0,0.0,1.0,0.0
67,BBC,68,Thu Dec 21 20:27:25 +0000 2017,RT @danroan: ICYMI my @BBCNews at 6 report on @birminghamcg22 as it wins right to host the Commonwealth Games. So is it worth it? Feat. @th…,0.7063,0.203,0.797,0.0
68,BBC,69,Thu Dec 21 13:48:18 +0000 2017,Latest on the Toys R Us deal here: https://t.co/YbV1A5qAaE https://t.co/lxnej2P4xf,0.0,0.0,1.0,0.0
69,BBC,70,Thu Dec 21 10:05:30 +0000 2017,Commonwealth Games: Birmingham announced as host of 2022 event https://t.co/X6KBijf2cH,0.0,0.0,1.0,0.0
70,BBC,71,Thu Dec 21 01:27:32 +0000 2017,Chocolate poisoning risk to dogs at Christmas https://t.co/iHfONmRoXQ,-0.7096,0.0,0.504,0.496
71,BBC,72,Wed Dec 20 21:01:38 +0000 2017,"RT @BBCBreaking: Damian Green quit after he was found to have made ""inaccurate &amp; misleading"" statements about what he knew about claims por…",-0.4019,0.0,0.891,0.109
72,BBC,73,Wed Dec 20 17:04:12 +0000 2017,"Brexit: Be more patriotic about cheese, says Michael Gove https://t.co/TQ6h2ozsyB",0.0,0.0,1.0,0.0
73,BBC,74,Wed Dec 20 12:35:17 +0000 2017,"In the last #PMQs of this year, MPs react noisily as @CliveEfford suggests that the PM should name her Christmas go… https://t.co/lLPfTgw3xc",0.0,0.0,1.0,0.0
74,BBC,75,Wed Dec 20 10:36:04 +0000 2017,Infection outbreak shuts ward at Inverness' Raigmore https://t.co/fTjJKydrbe,0.0,0.0,1.0,0.0
75,BBC,76,Wed Dec 20 00:04:17 +0000 2017,Post Office secures £370m funding from government https://t.co/UYo8ZIk9gd,0.3182,0.247,0.753,0.0
76,BBC,77,Tue Dec 19 17:19:37 +0000 2017,Would you do the same? https://t.co/gtUy21N2fy,0.0,0.0,1.0,0.0
77,BBC,78,Tue Dec 19 13:07:56 +0000 2017,London tube map with Elizabeth Line revealed https://t.co/FGxJumEgYK,0.0,0.0,1.0,0.0
78,BBC,79,Tue Dec 19 09:52:08 +0000 2017,Return of prescription charges considered https://t.co/xfQDeUjPCg,-0.2732,0.0,0.704,0.296
79,BBC,80,Mon Dec 18 23:54:24 +0000 2017,Manchester Airport: Heavy fog and runway 'defect' suspends flights https://t.co/scY3kHdSRm,0.0,0.0,1.0,0.0
80,BBC,81,Mon Dec 18 17:06:36 +0000 2017,Ofcom to investigate BBC climate change interviews https://t.co/VKn4S59h4O,0.0,0.0,1.0,0.0
81,BBC,82,Mon Dec 18 11:15:12 +0000 2017,Bijan Ebrahimi: Police 'sided with murder victim's abusers' https://t.co/zZmC9m8pL1,-0.8519,0.0,0.458,0.542
82,BBC,83,Mon Dec 18 07:49:03 +0000 2017,"RT @bbctms: AUSTRALIA WIN THE ASHES

📱📻 Follow it live 👉 https://t.co/5ywMmtAeqf 

#Ashes #bbccricket https://t.co/vGegQxLJzX",0.6739,0.259,0.741,0.0
83,BBC,84,Sun Dec 17 16:52:04 +0000 2017,UK diplomat found murdered in Lebanon https://t.co/UPQe7LBOU1,-0.6597,0.0,0.577,0.423
84,BBC,85,Sun Dec 17 09:47:04 +0000 2017,"RT @MarrShow: ""We want to halve it by 2022 and eliminate it by 2027"" - @AndrewMarr9 questions @DavidGauke on the increase of rough sleeping…",0.3818,0.146,0.854,0.0
85,BBC,86,Sat Dec 16 16:51:47 +0000 2017,RT @BBCScotlandNews: Alex Rowley has announced that he does not intend to resume the role of deputy leader of the Scottish Labour Party htt…,0.4019,0.105,0.895,0.0
86,BBC,87,Sat Dec 16 08:14:50 +0000 2017,Iain Lee addresses I'm a Celeb bullying claims https://t.co/NG3K3En7s1,-0.5994,0.0,0.642,0.358
87,BBC,88,Fri Dec 15 18:53:58 +0000 2017,"4-year-old boy left on bus attempts three-mile journey home
https://t.co/q6tCG3pHwa",0.0,0.0,1.0,0.0
88,BBC,89,Fri Dec 15 13:51:25 +0000 2017,RT @BBCBusiness: How easy is it to spot a narwhal in a sea of money? 🇨🇦 Find out with our A-Z guide to the creatures you spot in the financ…,0.4404,0.097,0.903,0.0
89,BBC,90,Fri Dec 15 08:42:25 +0000 2017,Booze calculator: What's your drinking nationality? https://t.co/amNdhk2LmX https://t.co/J3GpKFKaBp,0.0,0.0,1.0,0.0
90,BBC,91,Fri Dec 15 02:18:14 +0000 2017,Virgin Trains staff to hold 24-hour strike https://t.co/5EMIwdTKNi,-0.128,0.0,0.824,0.176
91,BBC,92,Thu Dec 14 19:38:37 +0000 2017,"RT @amolrajanBBC: My blog on Disney-Fox coming soon. Meantime:
1/ This is the most humble day of Rupert's life!.
2/ This deal ain't done. M…",0.0,0.0,1.0,0.0
92,BBC,93,Thu Dec 14 12:53:48 +0000 2017,"RT @BBCMonitoring: The #PutinPresser is over, clocking in at about 3 hours, 40 minutes. https://t.co/F0ampGTUAf",0.0,0.0,1.0,0.0
93,BBC,94,Thu Dec 14 09:35:32 +0000 2017,"RT @bbctms: The new ball has been taken and Starc goes on the attack. 

First ball and he goes full and nearly gets Malan out but it's drop…",-0.2617,0.0,0.929,0.071
94,BBC,95,Wed Dec 13 22:54:48 +0000 2017,"Thursday's Daily Mail: ""Proud of yourselves?"" #tomorrowspaperstoday #bbcpapers (via @hendopolis) https://t.co/HWghte9fHd",0.4767,0.237,0.763,0.0
95,BBC,96,Wed Dec 13 18:32:23 +0000 2017,"RT @bbclaurak: No sign of budging - George Freeman now joined the rebels, 14 rebels now sitting together on benches",-0.2732,0.115,0.638,0.247
96,BBC,97,Wed Dec 13 13:48:21 +0000 2017,Westminster rape trial: Samuel Armstrong 'victim gave story to press' https://t.co/DJVKz80HdG,-0.7783,0.0,0.57,0.43
97,BBC,98,Wed Dec 13 11:07:48 +0000 2017,"RT @BBC_HaveYourSay: Have you been scammed or were you saved from one like Barry 👇? Share your stories with us haveyoursay@bbc.co.uk 
https…",0.7579,0.283,0.717,0.0
98,BBC,99,Wed Dec 13 03:12:55 +0000 2017,Cold weather and loneliness 'lethal in winter' https://t.co/haCjb2owaM,-0.4215,0.0,0.714,0.286
99,BBC,100,Tue Dec 12 21:46:20 +0000 2017,London Euston to become Christmas Day homeless shelter https://t.co/9JcgyLF1si,0.0,0.0,1.0,0.0
100,CBS,1,Mon Jan 15 07:18:09 +0000 2018,"Sen. Tom Cotton says Trump's words, sentiments on immigration were misrepresented https://t.co/b47Rfh3Wd5 https://t.co/9m7JomAnUx",0.0,0.0,1.0,0.0
101,CBS,2,Mon Jan 15 03:14:05 +0000 2018,U.K. party suspends leader's girlfriend over racist Meghan Markle remarks https://t.co/6Vu18bvGiS https://t.co/Pvneco0nFr,-0.3182,0.162,0.599,0.24
102,CBS,3,Sun Jan 14 20:22:32 +0000 2018,WATCH: Five Axe-wielding thieves break into the Ritz Hotel in Paris and two get away with $5.4 million in stolen go… https://t.co/JmRSdi1xtA,-0.7579,0.0,0.755,0.245
103,CBS,4,Sun Jan 14 13:48:05 +0000 2018,"Doreen Tracey, one of the original Disney Mouseketeers, has died at 74 https://t.co/DnE7beprHW https://t.co/Au0jTxwI18",-0.3182,0.128,0.67,0.201
104,CBS,5,Sun Jan 14 08:48:05 +0000 2018,White House struggles with muting function for 22 minutes on Iran conference call with reporters… https://t.co/cOJhAmZduu,-0.3612,0.0,0.857,0.143
105,CBS,6,Sun Jan 14 04:18:06 +0000 2018,2018 flu season appears to hit deadly peak https://t.co/cVaq2tYvUC https://t.co/bRisti0APj,-0.3818,0.0,0.776,0.224
106,CBS,7,Sun Jan 14 00:18:08 +0000 2018,"Teens are eating laundry detergent for the ""Tide Pod Challenge"" https://t.co/lyzKOgxNxs https://t.co/ZA7DKz00B8",0.0772,0.106,0.894,0.0
107,CBS,8,Sat Jan 13 20:41:00 +0000 2018,Members of a South African opposition party stormed into H&amp;M stores across the country to protest the store's monke… https://t.co/NmXP0eXJZ3,0.1779,0.124,0.783,0.092
108,CBS,9,Sat Jan 13 16:00:02 +0000 2018,"President Trump's ""sh*thole"" comments make things more difficult for groups that want to limit immigration:… https://t.co/vvvW5XUlhN",-0.3597,0.072,0.774,0.154
109,CBS,10,Sat Jan 13 10:48:05 +0000 2018,Coach sentenced to death for rape and murder of girl he kidnapped on street https://t.co/h5sVnfTAsV https://t.co/VJHxX9albw,-0.9371,0.0,0.455,0.545
110,CBS,11,Sat Jan 13 06:03:09 +0000 2018,Suspect arrested in death of University of Pennsylvania student Blaze Bernstein https://t.co/Ghv6QQOiwV https://t.co/gUaG5RI9D5,-0.8481,0.0,0.521,0.479
111,CBS,12,Sat Jan 13 01:25:01 +0000 2018,"Suspect arrested in death of Blaze Bernstein, a 19-year-old University of Pennsylvania student whose body was found… https://t.co/pSJU6dXJCR",-0.8481,0.0,0.603,0.397
112,CBS,13,Fri Jan 12 21:40:32 +0000 2018,"""This country's greatness and true genius lies in its diversity."" Celebrities and public figures slam President Tru… https://t.co/KLRQ6gxLID",-0.3818,0.121,0.647,0.233
113,CBS,14,Fri Jan 12 17:38:32 +0000 2018,"I hope that members of the president's own party will step up and disavow his remarks,"" Sen. Durbin says… https://t.co/Vq9RbaxRoi",0.6808,0.248,0.752,0.0
114,CBS,15,Fri Jan 12 15:00:02 +0000 2018,"A village official in upstate New York has shot and killed his ex-girlfriend, her new boyfriend and himself, police… https://t.co/3NEuPLOksI",-0.6705,0.0,0.8,0.2
115,CBS,16,Fri Jan 12 12:43:58 +0000 2018,"President Trump gets his facts wrong as he nixes his London visit:
https://t.co/WErRcSnS3X https://t.co/x9Of9lpA51",-0.4767,0.0,0.807,0.193
116,CBS,17,Fri Jan 12 11:03:06 +0000 2018,"16 years later, Afghan capital under siege https://t.co/mg6mtjXOZO https://t.co/ff7zMT60C5",0.0,0.0,1.0,0.0
117,CBS,18,Fri Jan 12 06:18:11 +0000 2018,Bear attacked man as he let his dog out in Florida https://t.co/V0LKf5c0Sb https://t.co/F6pvav60bw,-0.4588,0.0,0.8,0.2
118,CBS,19,Fri Jan 12 01:25:01 +0000 2018,"Facebook to overhauling news feed, prioritizing posts from family and friends, as opposed to ones from brands and p… https://t.co/vyYMAbnpLN",0.4767,0.14,0.86,0.0
119,CBS,20,Thu Jan 11 22:28:35 +0000 2018,"Growing frustrated in Oval Office meeting, Pres. Trump sharply criticizes protections for immigrants, a new Washing… https://t.co/7X6m4G6Swg",-0.6249,0.083,0.634,0.283
120,CBS,21,Thu Jan 11 19:05:02 +0000 2018,"The White House's ban on cell phone use will go into effect January 16th, @PressSec confirms to CBS News… https://t.co/3cdwgvToOZ",-0.5574,0.0,0.841,0.159
121,CBS,22,Thu Jan 11 15:59:58 +0000 2018,"At least 8 people are missing and 17 are confirmed dead in devastating Southern California mudslides, officials say… https://t.co/1qCAZfjXav",-0.8957,0.0,0.581,0.419
122,CBS,23,Thu Jan 11 13:15:25 +0000 2018,AHEAD on @CBSThisMorning: @issielapowsky joins the table to discuss whether YouTube’s policies go far enough to pre… https://t.co/UzuDexxSbz,0.0,0.0,1.0,0.0
123,CBS,24,Thu Jan 11 12:05:39 +0000 2018,Search crews are racing to find victims still trapped in Southern California's deadly mudslides. The storms that tr… https://t.co/RbjmhUKKXo,-0.6908,0.0,0.749,0.251
124,CBS,25,Thu Jan 11 08:33:07 +0000 2018,Middle aged and out of shape? It's not too late to help your heart https://t.co/XZHQwBsN0x https://t.co/dJVzrhSDRQ,0.4019,0.153,0.847,0.0
125,CBS,26,Thu Jan 11 03:20:01 +0000 2018,"Here's a preview of David Letterman's interview with former Pres. Obama on ""My Next Guest Needs No Introduction""… https://t.co/lOkS8PEsZd",-0.296,0.0,0.885,0.115
126,CBS,27,Wed Jan 10 22:40:01 +0000 2018,The U.S. is being hit with one of the worst flu seasons in years -- and experts warn that young children are partic… https://t.co/7VKZowqKkM,-0.7964,0.0,0.722,0.278
127,CBS,28,Wed Jan 10 18:20:37 +0000 2018,"SOLDIER SURPRISE: ""My dad is a hero, my dad is a superhero."" A tearful 7-year-old discovers there's a special guest… https://t.co/M5xa5GtEg5",0.8455,0.395,0.605,0.0
128,CBS,29,Wed Jan 10 15:24:09 +0000 2018,CLARIFICATION: U.S. Coast Guard rescue of family took place in Santa Barbara County https://t.co/2s83tBS2Z7,0.5106,0.202,0.798,0.0
129,CBS,30,Wed Jan 10 12:46:23 +0000 2018,A Louisiana school board is under fire after a teacher was forcibly removed from a board meeting after questioning… https://t.co/f1YbRwVtAu,-0.34,0.0,0.87,0.13
130,CBS,31,Wed Jan 10 11:40:14 +0000 2018,"Washington is eying welfare reform, but it's entitlement spending that is looming large:
https://t.co/vom7b10yKE https://t.co/anckRqt5cA",-0.1901,0.0,0.889,0.111
131,CBS,32,Wed Jan 10 07:40:05 +0000 2018,Robert De Niro in expletive-laced anti-Trump tirade at films gala https://t.co/bXsUIpJlgC https://t.co/GIDnyEuzkx,0.0,0.0,1.0,0.0
132,CBS,33,Wed Jan 10 02:45:01 +0000 2018,Many White House aides have been notified that they need to decide as soon as possible if they will leave the admin… https://t.co/dn28uULtwO,-0.0516,0.0,0.948,0.052
133,CBS,34,Tue Jan 09 23:15:01 +0000 2018,Attorney for co-founder of Fusion GPS says someone died as a result of their findings in Steele dossier… https://t.co/br19Qcexh3,-0.5574,0.0,0.825,0.175
134,CBS,35,Tue Jan 09 19:12:16 +0000 2018,MOMENTS AGO: President Trump signs an executive order that focuses on taking care of veterans after they leave serv… https://t.co/QiLMOdxPj0,0.4588,0.143,0.804,0.054
135,CBS,36,Tue Jan 09 15:30:32 +0000 2018,Parts of fire-ravaged California are now getting hit by storms for the first time in months -- increasing the risk… https://t.co/v7JcHukpNC,0.0,0.0,1.0,0.0
136,CBS,37,Tue Jan 09 13:06:12 +0000 2018,The White House is gearing up for its next major battle in congress: immigration reform. A bipartisan group of lawm… https://t.co/UV9Y1Z5zuQ,-0.3818,0.0,0.88,0.12
137,CBS,38,Tue Jan 09 12:11:26 +0000 2018,"The Trump administration says it is time to end special protection for about 20,000 people from El Salvador. Many w… https://t.co/6AJnFPrtER",0.4019,0.119,0.881,0.0
138,CBS,39,Tue Jan 09 08:33:05 +0000 2018,"Judge dismisses charges against Cliven Bundy, 2 sons in ranch standoff case https://t.co/O300dmBcx2 https://t.co/JkGGQXpj2c",-0.2732,0.0,0.851,0.149
139,CBS,40,Tue Jan 09 03:40:01 +0000 2018,"Goop is promoting a coffee enema with a price tag of $135, but here's what science says https://t.co/z0w34hi8Tu https://t.co/9WPAD8v3p6",0.1901,0.099,0.901,0.0
140,CBS,41,Mon Jan 08 23:37:37 +0000 2018,"After Oprah Winfrey's stirring Golden Globes speech, speculation of a possible presidential run followed. In fact,… https://t.co/MqEKZJRsJQ",0.0,0.0,1.0,0.0
141,CBS,42,Mon Jan 08 19:05:26 +0000 2018,"Aziz Ansari made history at the Golden Globes, being the first Asian-American to win for Best Actor In TV Show, Com… https://t.co/TbSJ7etGDH",0.8402,0.286,0.714,0.0
